year doy  h  Ap F107  
2020 227 18   3  72.6
2020 227 19   3  72.6
2020 227 20   3  72.6
2020 227 21   3  72.6
2020 227 22   3  72.6
2020 227 23   3  72.6
2020 228  0   0  72.4
2020 228  1   0  72.4
2020 228  2   0  72.4
2020 228  3   0  72.4
2020 228  4   0  72.4
2020 228  5   0  72.4
2020 228  6   4  72.4
2020 228  7   4  72.4
2020 228  8   4  72.4
2020 228  9   2  72.4
2020 228 10   2  72.4
2020 228 11   2  72.4
2020 228 12   2  72.4
2020 228 13   2  72.4
2020 228 14   2  72.4
2020 228 15   2  72.4
2020 228 16   2  72.4
2020 228 17   2  72.4
2020 228 18   2  72.4
2020 228 19   2  72.4
2020 228 20   2  72.4
2020 228 21   2  72.4
2020 228 22   2  72.4
2020 228 23   2  72.4
2020 229  0   4  72.6
2020 229  1   4  72.6
2020 229  2   4  72.6
2020 229  3   4  72.6
2020 229  4   4  72.6
2020 229  5   4  72.6
2020 229  6   4  72.6
2020 229  7   4  72.6
2020 229  8   4  72.6
2020 229  9   4  72.6
2020 229 10   4  72.6
2020 229 11   4  72.6
2020 229 12   2  72.6
2020 229 13   2  72.6
2020 229 14   2  72.6
2020 229 15   2  72.6
2020 229 16   2  72.6
2020 229 17   2  72.6
2020 229 18   2  72.6
2020 229 19   2  72.6
2020 229 20   2  72.6
2020 229 21   3  72.6
2020 229 22   3  72.6
2020 229 23   3  72.6
2020 230  0   3  72.5
2020 230  1   3  72.5
2020 230  2   3  72.5
2020 230  3   2  72.5
2020 230  4   2  72.5
2020 230  5   2  72.5
2020 230  6   3  72.5
2020 230  7   3  72.5
2020 230  8   3  72.5
2020 230  9   4  72.5
2020 230 10   4  72.5
2020 230 11   4  72.5
2020 230 12   3  72.5
2020 230 13   3  72.5
2020 230 14   3  72.5
2020 230 15   2  72.5
2020 230 16   2  72.5
2020 230 17   2  72.5
2020 230 18   2  72.5
2020 230 19   2  72.5
2020 230 20   2  72.5
2020 230 21   3  72.5
2020 230 22   3  72.5
2020 230 23   3  72.5
2020 231  0   4  73.1
2020 231  1   4  73.1
2020 231  2   4  73.1
2020 231  3   5  73.1
2020 231  4   5  73.1
2020 231  5   5  73.1
2020 231  6   5  73.1
2020 231  7   5  73.1
2020 231  8   5  73.1
2020 231  9   5  73.1
2020 231 10   5  73.1
2020 231 11   5  73.1
2020 231 12   6  73.1
2020 231 13   6  73.1
2020 231 14   6  73.1
2020 231 15   3  73.1
2020 231 16   3  73.1
2020 231 17   3  73.1
2020 231 18   4  73.1
2020 231 19   4  73.1
2020 231 20   4  73.1
2020 231 21  15  73.1
2020 231 22  15  73.1
2020 231 23  15  73.1
2020 232  0  12  72.2
2020 232  1  12  72.2
2020 232  2  12  72.2
2020 232  3   9  72.2
2020 232  4   9  72.2
2020 232  5   9  72.2
2020 232  6   2  72.2
2020 232  7   2  72.2
2020 232  8   2  72.2
2020 232  9   2  72.2
2020 232 10   2  72.2
2020 232 11   2  72.2
2020 232 12   2  72.2
2020 232 13   2  72.2
2020 232 14   2  72.2
2020 232 15   3  72.2
2020 232 16   3  72.2
2020 232 17   3  72.2
2020 232 18   3  72.2
2020 232 19   3  72.2
2020 232 20   3  72.2
2020 232 21   4  72.2
2020 232 22   4  72.2
2020 232 23   4  72.2
2020 233  0   2  71.6
2020 233  1   2  71.6
2020 233  2   2  71.6
2020 233  3   3  71.6
2020 233  4   3  71.6
2020 233  5   3  71.6
2020 233  6   0  71.6
2020 233  7   0  71.6
2020 233  8   0  71.6
2020 233  9   3  71.6
2020 233 10   3  71.6
2020 233 11   3  71.6
2020 233 12   4  71.6
2020 233 13   4  71.6
2020 233 14   4  71.6
2020 233 15   3  71.6
2020 233 16   3  71.6
2020 233 17   3  71.6
2020 233 18   2  71.6
2020 233 19   2  71.6
2020 233 20   2  71.6
2020 233 21   3  71.6
2020 233 22   3  71.6
2020 233 23   3  71.6
2020 234  0   3  72.6
2020 234  1   3  72.6
2020 234  2   3  72.6
2020 234  3   2  72.6
2020 234  4   2  72.6
2020 234  5   2  72.6
2020 234  6   2  72.6
2020 234  7   2  72.6
2020 234  8   2  72.6
2020 234  9   2  72.6
2020 234 10   2  72.6
2020 234 11   2  72.6
2020 234 12   2  72.6
2020 234 13   2  72.6
2020 234 14   2  72.6
2020 234 15   3  72.6
2020 234 16   3  72.6
2020 234 17   3  72.6
2020 234 18   6  72.6
2020 234 19   6  72.6
2020 234 20   6  72.6
2020 234 21   5  72.6
2020 234 22   5  72.6
2020 234 23   5  72.6
2020 235  0   3  71.6
2020 235  1   3  71.6
2020 235  2   3  71.6
2020 235  3   7  71.6
2020 235  4   7  71.6
2020 235  5   7  71.6
2020 235  6   6  71.6
2020 235  7   6  71.6
2020 235  8   6  71.6
2020 235  9   6  71.6
2020 235 10   6  71.6
2020 235 11   6  71.6
2020 235 12   4  71.6
2020 235 13   4  71.6
2020 235 14   4  71.6
2020 235 15   5  71.6
2020 235 16   5  71.6
2020 235 17   5  71.6
2020 235 18   6  71.6
2020 235 19   6  71.6
2020 235 20   6  71.6
2020 235 21   9  71.6
2020 235 22   9  71.6
2020 235 23   9  71.6
2020 236  0   7  72.1
2020 236  1   7  72.1
2020 236  2   7  72.1
2020 236  3   7  72.1
2020 236  4   7  72.1
2020 236  5   7  72.1
2020 236  6   5  72.1
2020 236  7   5  72.1
2020 236  8   5  72.1
2020 236  9   7  72.1
2020 236 10   7  72.1
2020 236 11   7  72.1
2020 236 12   9  72.1
2020 236 13   9  72.1
2020 236 14   9  72.1
2020 236 15   6  72.1
2020 236 16   6  72.1
2020 236 17   6  72.1
2020 236 18   4  72.1
2020 236 19   4  72.1
2020 236 20   4  72.1
2020 236 21  12  72.1
2020 236 22  12  72.1
2020 236 23  12  72.1
2020 237  0   3  71.8
2020 237  1   3  71.8
2020 237  2   3  71.8
2020 237  3   3  71.8
2020 237  4   3  71.8
2020 237  5   3  71.8
2020 237  6   2  71.8
2020 237  7   2  71.8
2020 237  8   2  71.8
2020 237  9   0  71.8
2020 237 10   0  71.8
2020 237 11   0  71.8
2020 237 12   3  71.8
2020 237 13   3  71.8
2020 237 14   3  71.8
2020 237 15   3  71.8
2020 237 16   3  71.8
2020 237 17   3  71.8
2020 237 18   2  71.8
2020 237 19   2  71.8
2020 237 20   2  71.8
2020 237 21   0  71.8
2020 237 22   0  71.8
2020 237 23   0  71.8
2020 238  0   3  72.1
2020 238  1   3  72.1
2020 238  2   3  72.1
2020 238  3   2  72.1
2020 238  4   2  72.1
2020 238  5   2  72.1
2020 238  6   3  72.1
2020 238  7   3  72.1
2020 238  8   3  72.1
2020 238  9   2  72.1
2020 238 10   2  72.1
2020 238 11   2  72.1
2020 238 12   3  72.1
2020 238 13   3  72.1
2020 238 14   3  72.1
2020 238 15   4  72.1
2020 238 16   4  72.1
2020 238 17   4  72.1
2020 238 18   4  72.1
2020 238 19   4  72.1
2020 238 20   4  72.1
2020 238 21   2  72.1
2020 238 22   2  72.1
2020 238 23   2  72.1
2020 239  0   6  71.9
2020 239  1   6  71.9
2020 239  2   6  71.9
2020 239  3   9  71.9
2020 239  4   9  71.9
2020 239  5   9  71.9
2020 239  6   4  71.9
2020 239  7   4  71.9
2020 239  8   4  71.9
2020 239  9   6  71.9
2020 239 10   6  71.9
2020 239 11   6  71.9
2020 239 12   3  71.9
2020 239 13   3  71.9
2020 239 14   3  71.9
2020 239 15   9  71.9
2020 239 16   9  71.9
2020 239 17   9  71.9
2020 239 18   4  71.9
2020 239 19   4  71.9
2020 239 20   4  71.9
2020 239 21   6  71.9
2020 239 22   6  71.9
2020 239 23   6  71.9
2020 240  0   9  71.4
2020 240  1   9  71.4
2020 240  2   9  71.4
2020 240  3   5  71.4
2020 240  4   5  71.4
